Frecuencia	Fecha
1	2/04/2020
3	8/04/2020
6	6/04/2020
3	3/04/2020
2	16/04/2020
5	7/04/2020
3	25/04/2020
13	25/04/2020
5	8/04/2020
3	19/04/2020
2	26/04/2020
2	9/04/2020
1	17/04/2020
1	8/04/2020
3	5/04/2020
3	4/04/2020
7	19/04/2020
1	12/04/2020
2	30/04/2020
5	6/04/2020
2	5/04/2020
4	10/04/2020
3	7/04/2020
8	23/04/2020
13	11/04/2020
3	3/04/2020
4	29/04/2020
1	22/04/2020
2	4/04/2020
4	15/04/2020
1	14/04/2020
2	10/04/2020
3	25/04/2020
5	4/04/2020
3	3/04/2020
18	26/04/2020
5	18/04/2020
3	5/04/2020
4	24/04/2020
3	14/04/2020
2	6/04/2020
6	28/04/2020
6	15/04/2020
3	15/04/2020
2	9/04/2020
3	8/04/2020
3	23/04/2020
5	22/04/2020
3	23/04/2020
9	7/04/2020
2	12/04/2020
18	10/04/2020
3	15/04/2020
2	17/04/2020
3	2/04/2020
20	29/04/2020
10	7/04/2020
3	7/04/2020
3	9/04/2020
4	29/04/2020
7	5/04/2020
1	16/04/2020
3	16/04/2020
12	16/04/2020
4	5/04/2020
2	23/04/2020
2	5/04/2020
12	8/04/2020
5	25/04/2020
2	6/04/2020
6	12/04/2020
5	8/04/2020
4	29/04/2020
6	9/04/2020
5	7/04/2020
3	15/04/2020
4	2/04/2020
10	27/04/2020
2	9/04/2020
3	30/04/2020
1	30/04/2020
6	14/04/2020
4	3/04/2020
22	3/04/2020
2	18/04/2020
2	4/04/2020
3	7/04/2020
1	10/04/2020
2	20/04/2020
10	24/04/2020
6	9/04/2020
4	3/04/2020
2	8/04/2020
5	5/04/2020
28	25/04/2020
4	27/04/2020
3	13/04/2020
9	19/04/2020
12	20/04/2020
3	20/04/2020
3	9/05/2020
3	11/05/2020
20	9/05/2020
5	9/05/2020
4	9/05/2020
5	18/05/2020
2	9/05/2020
8	9/05/2020
5	9/05/2020
3	9/05/2020
4	26/05/2020
1	21/05/2020
2	29/05/2020
3	12/05/2020
5	9/05/2020
9	9/05/2020
15	9/05/2020
9	9/05/2020
6	9/05/2020
5	7/05/2020
13	9/05/2020
8	9/05/2020
3	17/05/2020
3	21/05/2020
1	9/05/2020
2	9/05/2020
3	5/05/2020
1	9/05/2020
1	1/05/2020
1	9/05/2020
1	9/05/2020
4	4/05/2020
5	14/05/2020
1	13/05/2020
1	9/05/2020
5	9/05/2020
5	29/05/2020
2	9/05/2020
6	9/05/2020
10	9/05/2020
2	28/05/2020
2	9/05/2020
20	9/05/2020
6	8/05/2020
3	2/05/2020
5	25/05/2020
5	9/05/2020
13	9/05/2020
11	2/05/2020
28	9/05/2020
4	9/05/2020
12	25/05/2020
12	9/05/2020
2	9/05/2020
3	9/05/2020
2	15/05/2020
2	9/05/2020
3	23/05/2020
5	9/05/2020
4	21/05/2020
2	9/05/2020
10	18/05/2020
6	9/05/2020
6	29/05/2020
1	9/05/2020
1	9/05/2020
7	9/05/2020
5	9/05/2020
1	9/05/2020
8	9/05/2020
4	27/05/2020
1	7/05/2020
5	29/05/2020
12	9/05/2020
4	9/05/2020
6	16/05/2020
4	9/05/2020
55	9/05/2020
2	9/05/2020
5	9/05/2020
8	9/05/2020
1	9/05/2020
2	7/05/2020
7	23/05/2020
7	9/05/2020
4	9/05/2020
2	9/05/2020
1	9/05/2020
10	10/05/2020
5	9/05/2020
2	4/05/2020
1	9/05/2020
4	9/05/2020
10	9/05/2020
7	9/05/2020
4	15/05/2020
5	22/05/2020
15	3/05/2020
4	9/05/2020
2	9/05/2020
6	3/05/2020
1	9/05/2020
1	9/05/2020
3	9/05/2020
9	9/05/2020
2	9/05/2020
3	19/05/2020
20	17/05/2020
4	9/05/2020
6	9/05/2020
1	20/05/2020
3	9/05/2020
2	30/05/2020
2	16/05/2020
10	9/05/2020
1	9/05/2020
30	9/05/2020
3	9/05/2020
5	4/05/2020
5	9/05/2020
5	22/05/2020
6	9/05/2020
5	24/05/2020
20	12/05/2020
20	2/05/2020
4	9/05/2020
1	9/05/2020
6	9/05/2020
15	9/05/2020
4	9/05/2020
2	9/05/2020
3	9/05/2020
11	9/05/2020
8	9/05/2020
4	3/05/2020
6	9/05/2020
2	9/05/2020
3	11/05/2020
3	9/05/2020
7	9/05/2020
5	14/05/2020
1	19/05/2020
1	9/05/2020
1	23/05/2020
30	9/05/2020
1	9/05/2020
8	9/05/2020
2	9/05/2020
7	22/05/2020
1	9/05/2020
4	5/05/2020
1	7/05/2020
5	9/05/2020
1	8/05/2020
2	9/05/2020
2	9/05/2020
2	6/05/2020
5	14/05/2020
3	9/05/2020
1	9/05/2020
3	9/05/2020
3	15/05/2020
3	8/05/2020
4	9/05/2020
8	15/05/2020
5	9/05/2020
1	9/05/2020
1	7/05/2020
3	5/05/2020
7	30/05/2020
3	9/05/2020
1	9/05/2020
4	3/05/2020
6	9/05/2020
10	9/05/2020
1	9/05/2020
10	9/05/2020
5	8/05/2020
5	7/05/2020
7	15/05/2020
1	9/05/2020
4	15/05/2020
4	27/05/2020
1	9/05/2020
2	9/05/2020
9	5/05/2020
4	29/05/2020
6	9/05/2020
20	9/05/2020
1	9/05/2020
2	10/05/2020
1	9/05/2020
4	2/05/2020
55	9/05/2020
16	9/05/2020
5	9/05/2020
12	9/05/2020
4	9/05/2020
15	9/05/2020
6	9/05/2020
16	9/05/2020
